station=61860 
Lat = 55.68 N 
Lon = 12.55 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
61860,612,1851,1.45,2.1,2.2,7.25,9.3,13.3,15.9,17.15,14.35,12.15,4.25,3.6
61860,612,1852,2.85,1,1.7,4.5,11.6,15.6,19.8,19.25,14.95,8.65,5.45,4.7
61860,612,1853,3.05,-2.9,-2.4,3.75,10.3,16.3,17.4,16.65,14.35,11.1,5.45,0.8
61860,612,1854,-0.75,0.4,4.2,7.35,11.3,14.3,17.6,18.15,14.25,10.6,2.25,2
61860,612,1855,-1.25,-6.2,0,4.85,8.4,14.45,18.4,17.15,13.95,11.8,5.35,-1.5
61860,612,1856,0.2,0.15,1.7,7.35,8.9,14.4,14.4,15.7,13.45,11.5,2.1,2.8
61860,612,1857,-1.5,0.75,2.1,5.15,10.8,16.2,16.9,19.95,16.35,12.6,5.8,6.1
61860,612,1858,1.1,-1.05,2.1,6.35,10.6,17.35,18,18.8,16.55,10.35,1.8,2.2
61860,612,1859,2.6,3.55,4.8,6.15,12.5,16.05,17.8,18.8,14.45,10.6,5.1,-0.1
61860,612,1860,1.7,-1.85,0.7,6.15,11.2,14.8,17.3,15.9,14.15,8.95,3.9,-0.2
61860,612,1861,-2.8,1.85,4.1,5.65,8.5,16.2,17.9,17.1,13.15,10.8,5.2,3.1
61860,612,1862,-0.9,-1.05,1,6.25,12.6,14.2,14.5,16.35,14.65,11.15,5.2,2
61860,612,1863,4,3.85,3.5,7.65,10.6,15.55,14.5,17.1,13.85,12.1,6.7,3.7
61860,612,1864,-0.8,0.75,2.9,5.65,8.6,14.35,16.3,13.7,13.45,8.3,4.2,2.3
61860,612,1865,0.7,-3.45,-0.4,6.55,13.4,12.65,18.2,16.35,14.95,9.35,6.8,3.9
61860,612,1866,4.3,3.25,0.9,6.75,8.7,16.95,15.9,16.1,15.75,9.3,4.3,2.6
61860,612,1867,-1.9,2.65,-0.1,5.55,7.3,13.6,14.9,16.8,13.85,9.8,3.9,-2
61860,612,1868,-0.2,3.35,3.8,6.65,12.9,16.05,19,19.85,14.25,9.3,3.6,3.7
61860,612,1869,2.3,4.15,2.1,8.55,10.4,12.9,16.8,15.9,14.35,8.65,3.6,2.4
61860,612,1870,1.5,-3.55,0.6,6.85,10.9,14.2,17.3,17.3,13.15,8.1,5.6,-2.9
61860,612,1871,-2.4,-2.65,4,4.85,9.4,13.1,16.9,17.1,12.75,7.95,2.7,-0.2
61860,612,1872,2.05,1.3,3.55,7.55,11.9,15.7,18.15,16.4,14.15,10.5,7.55,2.6
61860,612,1873,4.55,0.55,3.15,5.55,8.9,15,17.35,16.5,13.25,9.2,5.15,4.8
61860,612,1874,4.05,2.1,3.65,7.15,9.1,14.6,17.25,15.4,14.15,11.1,4.05,0
61860,612,1875,0.45,-1.7,0.55,5.55,11.4,15.4,16.65,18.2,13.95,7.4,2.85,0.5
61860,612,1876,0.05,0.85,2.85,7.05,8.6,15.8,17.35,17,12.75,10.2,2.35,0.4
61860,612,1877,1.75,0.8,0.55,4.55,8.8,15.7,16.25,15.2,10.45,7.7,7.35,2.8
61860,612,1878,1.05,2.55,3.65,8.15,10.8,14.7,15.85,17.9,14.55,10.8,5.35,1.1
61860,612,1879,-2.15,-1.7,1.15,4.35,10.6,14.3,14.85,16.5,14.05,9.2,2.95,-1.3
61860,612,1880,-0.65,1.2,2.45,7.45,10.5,14.6,17.15,18,14.95,6.3,4.55,2.4
61860,612,1881,-3.25,-1.8,-0.05,4.35,11.1,14.6,16.15,15,12.65,6.9,6.25,3.8
61860,612,1882,3.25,3.55,5.95,7.45,11,14.3,17.35,16.5,14.95,9.6,3.65,0.4
61860,612,1883,0.55,2,-0.65,5.55,11.3,15.8,17.45,15.8,13.75,9.5,6.15,2.5
61860,612,1884,3.75,3.65,3.65,5.35,10.9,14.1,17.35,17,15.55,9.6,2.45,2.5
61860,612,1885,0.75,2.35,3.05,7.55,9.2,14.6,17.15,14.4,12.25,7.3,3.65,2.2
61860,612,1886,0.75,-0.85,0.05,7.45,11.4,14.2,15.75,16.6,14.35,10,6.75,1.6
61860,612,1887,0.45,0.95,2.15,6.25,10.2,15.1,17.55,15.9,13.25,7.3,4.55,1.5
61860,612,1888,0.25,-1,-2.25,3.35,10.4,13.8,14.75,15.3,13.25,7.3,5.05,4
61860,612,1889,0.65,-2.2,0.35,5.85,14.2,19.1,16.35,15.5,11.55,9.7,5.95,1.8
61860,612,1890,3.05,0.85,3.75,6.55,12.9,13.9,15.15,16.3,14.15,8.7,5.25,-1
61860,612,1891,-2.35,1.35,1.95,5.45,10.9,14.2,17.45,15.3,14.35,11.2,4.35,3.8
61860,612,1892,0.05,0.8,1.45,6.45,11,14.3,15.55,16.5,13.95,8.7,5.35,-0.3
61860,612,1893,-5.35,-1.35,3.6,7.7,11.1,15.5,17.95,17.4,12.65,10.15,3.9,4.2
61860,612,1894,1.15,2.65,5.1,8.5,11.2,15.4,18.05,16.1,11.85,7.85,7.65,4
61860,612,1895,-0.35,-4.85,1.6,8,13,15.8,16.15,16.9,14.75,8.65,5.85,1.7
61860,612,1896,1.75,2.95,4.4,6.7,11.7,18.4,18.65,16.2,13.65,10.15,3.95,1.7
61860,612,1897,-0.75,0.65,3.5,6.85,11.7,16.9,16.65,18.8,13.35,8.7,5.7,4.1
61860,612,1898,4.65,2.75,2.8,5.65,10.2,14.6,14.25,16.9,14.25,9.35,7,5.6
61860,612,1899,2.95,3.05,2.7,7.15,11.6,14.9,19.05,17.1,13.15,9.2,8.5,0.9
61860,612,1900,0.95,0.15,1.4,5.85,9.6,15.8,17.75,17.3,13.85,9.35,6.35,4.9
61860,612,1901,-0.15,-2.05,1.9,7,12.4,14.5,19.95,18,14.45,11.4,4.7,2.5
61860,612,1902,4.15,-0.95,2.9,5.35,8.9,14.7,14.75,13.8,11.85,8.4,3.95,1
61860,612,1903,1.65,4.05,5.9,5.15,12.3,15.4,16.45,14.7,13.25,9.2,4.65,2.3
61860,612,1904,1.55,0.95,2.6,7.3,10.4,14.8,17.15,16.6,13.65,9.2,5.7,4.2
61860,612,1905,1.15,2.05,3.9,4.65,12.1,17,17.65,16.4,13.15,6.1,4.7,3.1
61860,612,1906,2.25,1.75,2.8,8.35,13.1,16.3,17.15,17.1,14.25,10.5,8.4,0.4
61860,612,1907,1.05,0.65,3.2,5.75,10.7,13.7,15.65,14.6,13.05,12.9,6.15,2.6
