station=837810 
Lat = 23.5 S 
Lon = 46.62 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
8.3781e+05,303,1887,21.85,22.35,20.65,19.75,16.6,16.1,14.95,14.45,18.15,19.35,19.7,21.95
8.3781e+05,303,1888,20.15,21.65,21.45,19.55,17.3,16.2,16.15,17.75,NaN,23.3,22.3,23.15
8.3781e+05,303,1889,23.95,23.45,23.6,21.15,18.9,13.9,15.85,15.45,15.65,18.65,20.3,23.25
8.3781e+05,303,1890,22.15,22.75,22.15,18.75,17.4,14.3,15.45,15.25,18.25,17.15,18.7,21.45
8.3781e+05,303,1891,22.25,22.05,21.85,20.05,17.4,17,15.25,15.95,17.75,19.25,20,20.65
8.3781e+05,303,1892,22.45,23.15,22.25,20.25,16.6,15.1,13.45,15.75,16.85,18.35,19.5,19.05
8.3781e+05,303,1893,21.95,20.45,21.85,18.55,16.8,15.6,14.35,14.45,15.15,16.75,18.4,20.65
8.3781e+05,303,1894,24.25,23.05,21.45,19.05,16.6,13.2,14.35,16.15,17.95,20.25,20.4,21.45
8.3781e+05,303,1895,21.85,21.05,22.25,18.85,17.1,15.1,14.85,16.85,16.75,18.75,20.2,23.65
8.3781e+05,303,1896,21.25,22.45,20.75,18.75,16.4,16.1,14.85,16.95,18.25,19.15,20.6,23.05
8.3781e+05,303,1897,21.55,21.05,20.95,21.75,18.8,15.9,14.55,16.75,16.35,18.75,19.6,21.95
8.3781e+05,303,1898,22.85,23.05,22.65,20.85,16.3,16.7,15.55,15.95,16.15,17.05,19.1,21.85
8.3781e+05,303,1899,21.35,21.95,23.15,21.55,19.6,15.2,17.25,18.75,18.15,19.95,20.8,20.55
8.3781e+05,303,1900,21.45,22.05,22.35,19.15,18.2,16.1,16.65,16.65,17.95,19.45,20.2,21.05
8.3781e+05,303,1901,20.45,21.05,20.25,18.75,17.3,14.7,16.35,15.95,16.85,19.25,18.9,19.65
8.3781e+05,303,1902,21.35,22.55,21.25,20.55,18.5,17.1,17.25,14.55,17.95,18.05,21.5,21.55
8.3781e+05,303,1903,19.85,22.05,22.45,18.55,16.5,16.6,14.55,16.35,16.95,18.05,19.8,21.75
8.3781e+05,303,1904,21.25,21.15,21.55,19.15,15.8,14.4,15.65,16.35,17.85,18.15,19.8,20.55
8.3781e+05,303,1905,20.55,22.65,20.15,19.75,18.5,16,15.55,16.45,17.75,20.35,19.4,21.65
8.3781e+05,303,1906,20.65,20.55,20.55,19.55,18.7,17,16.15,17.35,16.85,19.45,19.8,21.05
8.3781e+05,303,1907,20.95,21.65,21.45,19.85,15.5,16,14.35,15.15,18.45,17.95,19.7,21.95
8.3781e+05,303,1908,21.05,21.05,20.25,19.25,17,16.2,16.45,14.75,16.85,18.25,20.2,21.75
8.3781e+05,303,1909,21.65,22.95,20.35,18.65,16,15.3,16.95,16.25,17.05,17.35,19.9,19.45
8.3781e+05,303,1910,22.15,21.75,21.55,20.35,NaN,16.55,13.95,16.65,16.8,16.65,18.5,19.8
8.3781e+05,303,1911,22.15,21.55,19.65,18.65,17.15,14.05,13.35,15.25,17.2,17.75,21.4,21.8
8.3781e+05,303,1912,21.35,22.55,20.55,18.95,18.75,16.35,14.05,16.55,15,17.35,21.4,20.8
8.3781e+05,303,1913,21.25,21.95,21.65,19.6,17.1,14.65,16.2,16.45,17.9,18.95,20.05,20.65
8.3781e+05,303,1914,22.65,21.55,22.05,19.1,16.1,18.05,17.4,16.85,19.15,20.15,21.65,20.85
8.3781e+05,303,1915,22.85,22.95,21.05,21.2,20.1,15.25,15.5,17.35,17.9,18.35,18.95,20.95
8.3781e+05,303,1916,21.65,20.65,20.05,18.8,17.7,16.85,15,16.15,18.75,17.75,20.35,20.55
8.3781e+05,303,1917,21.25,21.05,20.4,18,14.5,13.55,13.9,14.45,17.35,18.15,17.85,20.35
8.3781e+05,303,1918,21.85,21.55,20.5,18.8,17.4,15.25,13.9,14.75,16.85,18.75,20.05,20.45
8.3781e+05,303,1919,20.25,20.95,21,20.3,19.8,17.95,16.2,16.45,15.6,18.65,20.05,21.25
8.3781e+05,303,1920,22.05,21.75,20.75,19.5,16.7,15.55,15.7,13.85,16.4,19.05,20.45,20.95
8.3781e+05,303,1921,21.4,21.8,21.4,18.8,17.1,14.6,13.75,17.7,16.55,17.7,18.65,21.35
8.3781e+05,303,1922,21.8,21.8,21.35,19.7,17.5,15.9,15.15,17.3,17.65,17.6,19.55,20.95
8.3781e+05,303,1923,21.5,21.2,21.25,20.6,17,15.5,13.75,16.1,17.05,17.8,19.55,22.25
8.3781e+05,303,1924,20.3,20.9,21.9,20,17.3,15.7,14.85,15.2,17.15,16.3,16.85,20.35
8.3781e+05,303,1925,22,22.2,20.4,21,17.6,13.9,12.85,17.4,17.75,17.5,20.15,21.35
8.3781e+05,303,1926,21.4,20.1,20.9,19.3,16.2,16.6,14.35,16.1,18.35,18.8,20.25,20.95
8.3781e+05,303,1927,20.9,20.9,21.25,20.2,16.9,14.6,14.25,15.4,17.45,18.1,20.75,20.55
8.3781e+05,303,1928,21.3,22.45,22,21.7,17.7,16.7,15.9,15.85,17.95,18.5,19.85,20.9
8.3781e+05,303,1929,21.8,21.85,20.8,17.8,16.4,16.6,15.4,16.45,18.25,19.7,18.35,21.4
8.3781e+05,303,1930,21.5,21.65,21.8,19.4,18.2,18.5,16.3,16.85,16.75,18.5,19.35,20.4
8.3781e+05,303,1931,22.3,20.65,21,20.1,17.3,15.5,16,16.15,16.25,18.2,19.15,21.6
8.3781e+05,303,1932,20.5,22.85,22,21.4,17.6,16,17,15.85,18.95,19.5,20.55,21.1
8.3781e+05,303,1933,21,22.25,20.4,18.5,17.4,15.1,14.6,16.55,17.55,18.3,18.35,19.7
8.3781e+05,303,1934,21.3,22.45,21.8,20.3,18.4,17.1,15.1,16.85,17.65,17.9,20.35,20.6
8.3781e+05,303,1935,20.4,20.95,20.9,18.9,15.3,16.7,16.1,15.35,16.55,17.8,18.65,21.2
8.3781e+05,303,1936,21.6,20.5,20.7,19.3,19.7,17.6,15.5,14.35,15.95,18.2,18.45,20.4
8.3781e+05,303,1937,19.3,21.35,20.8,18.6,16.6,15.8,15.8,16.75,16.25,17.2,18.6,18.7
8.3781e+05,303,1938,22.7,21.05,21.7,19.1,16.7,15.4,14.8,15.35,16.85,17.7,18.85,20
8.3781e+05,303,1939,21.1,21.65,21.6,19.3,18.3,16.1,13.5,16.75,16.1,18.1,19.55,20.3
8.3781e+05,303,1940,21.6,20.6,21.5,20.8,18.6,16.5,16.9,16.75,16.65,17.8,18.85,22.8
8.3781e+05,303,1941,23.7,23.85,21.6,22.5,18.9,15.6,15,18.25,15.15,19,20.05,21.2
8.3781e+05,303,1942,22.4,22.65,22.1,20.3,18.2,16.5,12.9,16.65,17.15,19.7,20.75,19.9
8.3781e+05,303,1943,21,21.95,22.1,18.5,18.7,17.9,16.1,15.55,17.25,19,20.45,20.4
8.3781e+05,303,1944,22.7,22.25,23,19.6,17.6,16.5,14.4,NaN,18.85,21.7,19.15,NaN
8.3781e+05,303,1945,21.5,NaN,NaN,19.8,NaN,NaN,NaN,18.55,NaN,NaN,NaN,NaN
8.3781e+05,303,1946,20.8,22.85,20.4,18.8,18.4,15.4,14.3,17.15,NaN,19.4,19.55,20.5
8.3781e+05,303,1947,NaN,22.25,20.5,18.8,18.4,NaN,13.9,15.25,16.85,15.9,17.75,19.1
8.3781e+05,303,1948,22.3,21.65,20.2,19.1,17.2,15.7,16.7,14.45,17.45,17.6,19.45,20
8.3781e+05,303,1949,21.2,20.7,22.767,18.967,16.5,16.367,15.067,16.2,17.033,17.467,18.767,20.4
8.3781e+05,303,1950,20.967,21.4,21.3,20.067,18.5,17,15.233,17.967,18.233,17.9,18.833,20.867
8.3781e+05,303,1951,20.833,21.4,21.133,17.933,16.967,14.967,14.133,14.867,17.667,18.967,19.85,19.867
8.3781e+05,303,1952,22,21.7,22.5,19.033,17,16.2,16.133,18.1,17.75,19.6,19.9,21.033
8.3781e+05,303,1953,22.633,21.567,22.133,19.233,18.1,16.267,14.2,16.567,18.7,19.5,19.3,20.5
8.3781e+05,303,1954,23.067,22.5,22.033,19.15,17.467,17.067,16.333,17.367,18.867,18.833,19.7,20.533
8.3781e+05,303,1955,21.667,22.867,21.633,19.45,NaN,16,15.733,16.267,17.85,17.467,18.033,21.2
8.3781e+05,303,1956,24.6,22.233,21.333,19.3,16.167,14.267,14.9,14.7,18.867,18.1,18.033,20.167
8.3781e+05,303,1957,22.167,21.167,21.533,19.367,16.333,16.133,15.367,17.05,17.1,20.567,19.967,21.833
8.3781e+05,303,1958,22.8,23.367,21.233,20.4,17.233,16.567,16.733,19,18.067,18.8,21.7,22.667
8.3781e+05,303,1959,22.6,23.1,21.133,22.533,18.633,16,17.5,17.067,19.233,19.9,19.9,21.167
8.3781e+05,303,1960,21.2,21.3,21.333,19.333,15.933,15.9,16.033,17.867,18.433,20.7,19.967,21.333
8.3781e+05,303,1961,22.2,22.5,21.433,21.033,18.433,17.3,16.833,18.267,20.933,21.2,21.7,21.233
8.3781e+05,303,1962,21.233,21.933,22.233,19.733,16.833,14.8,14.3,16.367,19.45,17.7,19.8,20.533
8.3781e+05,303,1963,23.1,22,23.333,19.933,17.133,15.367,16.533,18.133,21.033,20.167,21.233,21.133
8.3781e+05,303,1964,21.6,21.9,21.833,20.833,17.033,18.033,13.567,17.567,18.533,18.4,19.4,20.2
8.3781e+05,303,1965,21,22.45,19.967,20.433,17.633,17.8,16.133,18.167,20.167,19.6,20.8,22.533
8.3781e+05,303,1966,23.4,24.033,21.967,20.267,18.25,17.7,16.933,16.367,17.133,18.9,20,21.933
8.3781e+05,303,1967,21.8,22.867,21.733,20.233,18.833,17.1,16.533,19.833,18.9,21.1,19.7,19.733
8.3781e+05,303,1968,21.633,21,21.733,18.133,15.333,15.5,15.033,15.4,17.233,19,21.6,22.267
8.3781e+05,303,1969,23.367,23.267,22.433,19.433,17.967,17.1,16.1,16.933,19,17.433,20.767,19.967
8.3781e+05,303,1970,21.533,22.2,22.467,20.2,19.633,18.433,15.7,16.4,17.1,18.8,18.633,22.567
8.3781e+05,303,1971,23.767,23.267,22.667,19.7,17.333,15.833,15.767,17.233,17.833,17.833,18.667,21.333
8.3781e+05,303,1972,22.2,21.567,22.767,18.3,18.567,18.933,16.067,17.733,18.267,19.233,20.267,21.833
8.3781e+05,303,1973,23.367,24.067,21.467,22.8,18.067,18.133,17.267,16.333,17.167,18.133,NaN,21.633
8.3781e+05,303,1974,20.767,23.267,21.967,19.2,17.467,15.633,16.633,17.4,17.667,17.733,20.067,20.233
8.3781e+05,303,1975,21.6,22.967,22.767,19.2,17.167,16.533,14.867,19.4,19.567,18.933,20.167,22.333
8.3781e+05,303,1976,23.3,21.167,21.367,19.7,17.267,16.233,15.267,16.333,17.967,17.733,20.267,21.833
8.3781e+05,303,1977,22.967,24.267,23.067,19.7,18.067,17.333,19.267,16.9,18.967,20.333,20.567,20.733
8.3781e+05,303,1978,23.2,22.467,22.767,19,16.667,16.033,17.167,NaN,17.267,19.833,19.867,20.933
8.3781e+05,303,1979,19.5,22.267,20.667,19.3,18.367,16.233,15.367,18.333,17.167,19.433,19.867,21.733
8.3781e+05,303,1980,21.5,22.567,23.167,20.6,19.767,16.033,17.567,17.633,16.267,20.033,20.067,23.133
8.3781e+05,303,1981,22.5,23.967,22.167,19.1,18.967,16.233,14.567,17.233,19.167,18.433,21.267,21.433
8.3781e+05,303,1982,20.75,20.85,21.35,18.8,17.35,18.6,17.3,18.35,18.35,19.4,22.15,20.85
8.3781e+05,303,1983,22.75,23.45,21.55,21.05,19.35,17,17.65,17.15,16.05,18.95,21.45,22.1
8.3781e+05,303,1984,24.35,25.25,NaN,19.75,20.25,18,17.55,16.25,17.25,20.55,20.95,21
8.3781e+05,303,1985,20.95,23.25,22.75,21.55,17.75,15.4,15.45,18.25,17.65,20.05,21.25,21.8
8.3781e+05,303,1986,23.6,22.9,22.2,21.3,19.5,16.7,15.8,17.7,17.7,19.4,21.2,21.6
8.3781e+05,303,1987,23.4,22.7,21.5,21,17.6,15.7,17.8,16.5,17.1,20,20.3,22.2
