station=859340 
Lat = 53 S 
Lon = 70.85 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
8.5934e+05,304,1888,11.1,10.8,8.8,5.9,3.3,0.6,0.2,1.5,1.7,4.3,6.5,9.4
8.5934e+05,304,1889,10.8,10.9,7.7,5.6,4.1,2.7,-0.5,0.4,3,6.8,8.3,8.2
8.5934e+05,304,1890,11,9.8,7.9,6.3,2.9,2.9,1.8,1.8,2.8,7.3,9,10.2
8.5934e+05,304,1891,10.3,8.4,8.4,6.4,3.6,1.7,0.1,2.1,2.8,4,9.1,NaN
8.5934e+05,304,1892,10.5,9.1,7.3,6.8,4.9,1.3,1.4,2.2,3.1,5.7,7.8,12
8.5934e+05,304,1893,9.9,11,7.8,6.6,3.7,3.4,2,2.9,NaN,6.3,NaN,9.4
8.5934e+05,304,1894,10,10.4,8.9,6.2,3.8,3.1,1.8,2,4.5,6.6,9.9,10.2
8.5934e+05,304,1895,12.4,11.4,7.9,6.7,4.5,3.2,0.8,2,3.7,4.8,10.1,10
8.5934e+05,304,1896,11.8,12.7,9.6,7.5,5,3.4,2.2,1.2,4,NaN,6.3,10.8
8.5934e+05,304,1897,12.1,10.6,10.6,5.7,4.5,0.3,-0.3,0.3,2.3,4.1,6.5,7.3
8.5934e+05,304,1898,8.9,9,7.3,6,3.5,2,1.3,3.8,5.4,1.9,6.5,9
8.5934e+05,304,1899,10.1,11.4,9.9,5.6,4.3,3.4,-1.2,0.1,3.9,5.6,5.8,10.2
8.5934e+05,304,1900,10.1,9,7.9,6.8,3.4,1.4,NaN,0.1,4,7.1,7.4,10.5
8.5934e+05,304,1901,NaN,11.85,10.1,8.2,4.7,2.05,0.95,2.4,4.55,6.65,9.8,NaN
8.5934e+05,304,1902,11.8,9.95,9.9,8.2,3.7,0.75,-1.95,1.45,2.45,5.85,7.9,11.35
8.5934e+05,304,1903,12.1,10.65,7.9,6.8,5,1.15,1.15,0.55,2.15,6,8.2,10.15
8.5934e+05,304,1904,12.8,11.65,8.4,7.2,2.9,1.75,-2.15,1.85,3.65,5.85,8.8,12.25
8.5934e+05,304,1905,NaN,10.05,9.6,6.1,3.2,-0.6,-1.2,-0.5,1.5,3.8,6.9,8.15
8.5934e+05,304,1906,10.3,9.95,6.2,3.6,-0.3,0.05,-0.9,1.15,2.85,5.35,7.5,7.95
8.5934e+05,304,1907,9.9,10.25,7.9,5.4,2.8,0.05,0.65,0.85,2.35,4.8,7,7.65
8.5934e+05,304,1908,10.5,12.15,8.1,3.8,3.1,1.85,0.15,0.3,2.35,3.5,5.4,8.25
8.5934e+05,304,1909,10.7,9.45,7.6,5.1,1.8,1.85,0.15,-0.35,2.15,5.25,6.8,7
8.5934e+05,304,1910,8.3,10.45,9.4,5.6,3.4,0.65,0.85,0.8,3.85,7,8.7,11.45
8.5934e+05,304,1911,10.05,10.35,8.9,5.2,3.6,3.55,2.15,0.65,2.95,5.85,7.8,10.5
8.5934e+05,304,1912,11.8,8.85,9,7.05,2.5,1.65,2.4,0.55,2.95,6.5,5.55,9.45
8.5934e+05,304,1913,12.4,9.15,8.65,5.85,2.05,0.45,-0.35,0.35,4.4,5.1,7.65,10.2
8.5934e+05,304,1914,10.35,10.35,9.6,6.05,3.25,-0.05,0.65,1.05,2.15,5.45,6.2,10.25
8.5934e+05,304,1915,10.95,9.95,10.15,3.3,1.9,0.75,1.35,0.75,3.95,6.35,8.1,9.95
8.5934e+05,304,1916,12.3,11.25,8.8,6.1,4.1,1.75,0.95,2.25,3.25,6.2,7.95,9.95
8.5934e+05,304,1917,10.6,11.15,8.6,7.4,4.45,2,2,1.05,3.65,7,9.65,9.4
8.5934e+05,304,1918,10.8,11.55,8.15,5.3,2.15,2.8,-0.3,0.5,2.95,6.65,6.55,11.6
8.5934e+05,304,1919,11.8,11.15,10.5,5.15,3.65,2.2,1.2,2.55,2.95,5.7,6.95,10.5
8.5934e+05,304,1920,11.45,10.7,7.1,6.85,2.9,2.1,1.1,3.1,3.8,5.8,8.1,10.1
8.5934e+05,304,1921,10.95,9.65,9.25,6.9,1.65,1.9,2.1,0.85,3.35,6.55,8.4,9.75
8.5934e+05,304,1922,9.75,9.75,7.9,6.35,4.65,1.4,1.7,1.5,3.5,6.05,8.35,11.55
8.5934e+05,304,1923,11.15,10.25,7.6,4.85,4.75,0.5,-1.4,-0.05,2.9,5.2,7.35,9
8.5934e+05,304,1924,12.75,10.05,8.4,6.6,4.1,1.95,0.75,2.35,3.75,7.15,8.15,9.2
8.5934e+05,304,1925,10.2,9.9,8.6,5.55,4.05,1.7,1.2,1.05,-0.25,5.15,7.05,10.05
8.5934e+05,304,1926,9.85,10.3,6.8,4.95,4.05,2.3,0.1,1.75,2.5,3.55,7.3,10.2
8.5934e+05,304,1927,10.1,10.3,9.1,6.45,3.85,1.7,1.2,1.35,2.05,6.5,7.65,10.15
8.5934e+05,304,1928,9.45,9.95,7.5,6.05,4.55,0.9,0.6,3.15,4.95,6.9,7.15,8.55
8.5934e+05,304,1929,10.8,10.65,8.75,6.45,4.05,2.9,1.7,1.55,2.75,5.55,6.65,7.75
8.5934e+05,304,1930,10.15,11.35,7.1,6.95,3.2,0.2,-1.3,0.75,3.05,4.8,9.35,9.1
8.5934e+05,304,1931,12.45,10.35,8.65,6.35,4.35,1.9,0.5,2.25,2.75,5.4,7.85,9.55
8.5934e+05,304,1932,10.55,10.45,8.1,5.15,4.85,1.1,-0.1,1.15,3.05,6.15,7.35,8.65
8.5934e+05,304,1933,10.55,9.55,8.65,5.55,3.55,1.7,1.6,1.15,3.85,5.05,6.95,9.15
8.5934e+05,304,1934,10.85,9.05,7.4,6.45,3.35,1.2,1.1,2.35,3.35,6.9,7.55,8.95
8.5934e+05,304,1935,10.35,9.35,7.75,5.15,3.75,1.9,0,1.85,2.35,4.95,7.45,8.85
8.5934e+05,304,1936,10.25,10.3,7.95,6.25,1.4,2.25,1.8,1.6,3.15,4.95,8.95,9
8.5934e+05,304,1937,10.05,8,6.85,6.05,2.4,1.15,-0.1,0,4.05,6.15,7.65,10.4
8.5934e+05,304,1938,9.65,9.7,7.45,6.85,4.5,1.75,1.1,1.2,2.55,5.75,7.55,10.4
8.5934e+05,304,1939,9.95,9.6,7.8,5.75,1.9,1.05,0.7,-0.1,3.05,4.75,6.45,10.2
8.5934e+05,304,1940,9.85,10.9,8.3,4.75,3.25,1.4,1.55,2.75,3.2,5.75,8.45,8.15
8.5934e+05,304,1941,10.85,9.9,9.3,4.35,NaN,3.4,2.75,2.65,3.5,6.05,6.95,10.15
8.5934e+05,304,1942,10.35,9.9,7.1,6.65,3.1,2.2,1.45,1.45,3.6,6.35,8.75,NaN
8.5934e+05,304,1943,NaN,10.1,7.9,7.25,4.3,2.7,2.55,NaN,NaN,5.55,7.25,10.05
8.5934e+05,304,1944,9.85,10.1,9.7,6.75,4.3,0.3,1.35,1.25,3.1,5.85,8.35,10.05
8.5934e+05,304,1945,11.85,10.55,8.3,5.35,3.85,2,0.75,2.15,4.4,5.95,7.15,10.15
8.5934e+05,304,1946,10.55,8.85,7.9,7.45,3.9,2.2,1.85,1.55,3.3,5.85,6.75,8.3
8.5934e+05,304,1947,8.5,9.75,8,5.45,2.1,1.5,1.65,2.65,3.4,7.15,9.55,9.5
8.5934e+05,304,1948,10.15,9.2,6.6,6.55,3.3,1.7,0.45,-0.75,3.1,6.15,7.35,8.7
8.5934e+05,304,1949,10,9.4,6.9,5.75,2.55,1.4,1.45,1.95,3.9,6.45,7.85,8.8
8.5934e+05,304,1950,9.5,9.55,8,4.55,0.65,1.3,1.75,1.35,2.4,5.35,6.55,9.05
8.5934e+05,304,1951,9.05,9.9,7.4,6.75,3.4,-0.7,1.35,1.95,2.6,5.65,8.35,12.55
8.5934e+05,304,1952,11.5,10.75,7.5,6.55,3.05,3,1.55,1.65,4.5,6.35,9.25,10.15
8.5934e+05,304,1953,9.7,10.05,7.9,4.45,2.6,2,0.85,1.85,3.2,5.25,7.35,10.15
8.5934e+05,304,1954,9.55,8.6,7.5,6.05,3.55,1.5,NaN,1.05,2.3,6.25,7.45,8.35
8.5934e+05,304,1955,10.15,8.9,7.7,5.25,3.85,0.1,0.75,1.05,3,5.95,8.25,7.35
8.5934e+05,304,1956,9.3,9.55,7.5,5.95,4.15,2.6,1.65,2.25,3.1,6.65,9.65,10.15
