station=911820 
Lat = 21.35 N 
Lon = 157.93 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
9.1182e+05,425,1883,23.1,23.15,23.5,25.85,26.95,27.7,27.65,28.3,27.05,26.65,24.55,23.25
9.1182e+05,425,1884,22.6,22.75,23.8,23.75,25.35,27.95,28.05,28,27.55,26.35,24.65,22.9
9.1182e+05,425,1885,22.2,23.25,23.6,23.4,25.45,27.95,28.35,27.8,27.85,26.25,25.45,NaN
9.1182e+05,425,1886,22.5,23.5,23.5,24.95,25.75,27.2,27.85,27.6,28.05,27.35,25.15,23.5
9.1182e+05,425,1887,23.1,22.9,22.8,25.05,25.45,27.05,27.75,27.4,26.65,26.05,24.3,24.15
9.1182e+05,425,1888,22.8,21.75,22.6,24.95,25.85,27.7,28.35,27.8,27.55,27.35,25.65,24.75
9.1182e+05,425,1889,22.7,22.5,22.8,24.55,26.85,27.45,28.25,28.2,27.45,26.35,25.7,23.65
9.1182e+05,425,1890,23.4,23.65,23.1,25.05,26.35,27.6,27.85,27.4,27.55,26.35,24.55,23.75
9.1182e+05,425,1891,23.6,21.9,22.6,24.55,25.55,27.85,28.55,28.5,28.35,26.55,25.3,24.6
9.1182e+05,425,1892,22.1,24.15,24,25.45,26.35,27.6,28.05,28.1,27.95,26.35,25.05,23.25
9.1182e+05,425,1893,22.8,23.3,24.1,25.45,26.55,27.1,27.65,27.5,26.95,26.15,24.5,23.15
9.1182e+05,425,1894,23.1,22.65,23.1,24.35,25.95,26.95,27.15,27,26.95,25.9,24.55,23.25
9.1182e+05,425,1895,22.7,22.75,22.7,24.35,26.55,27.45,28.05,28,26.95,26.55,24.65,24.1
9.1182e+05,425,1896,23.4,23.3,22.5,24.85,26.25,26.7,28.05,28.2,27.65,26.55,26.05,24.5
9.1182e+05,425,1897,23.4,24.4,24.4,25.15,26.15,27.3,28.15,28.2,27.35,26.35,24.45,23.75
9.1182e+05,425,1898,23.8,22.25,22.5,23.65,25.55,26.7,27.45,27.4,26.95,26.25,25.3,23.1
9.1182e+05,425,1899,23,23.75,23.6,24.65,26.15,27.2,27.85,28,27.45,26.05,24.7,24
9.1182e+05,425,1900,23,22.75,23.8,24.65,26.45,28.3,28.65,28.7,28.15,26.55,24.9,23.6
9.1182e+05,425,1901,23.3,21.75,24,24.85,26.45,27.95,28.15,28.4,27.05,26.05,24.65,23.65
9.1182e+05,425,1902,23.1,22.3,23.1,23.95,25.45,27.1,28.05,28.2,27.05,25.85,24.3,23.4
9.1182e+05,425,1903,22.3,20.9,NaN,23.95,25.85,26.95,27.95,27.7,27.15,25.8,24.65,24
9.1182e+05,425,1904,23.5,22.65,23.4,24.55,25.95,27.45,27.95,27.7,27.55,26.55,24.3,23.75
9.1182e+05,425,1905,21,22.15,22.7,23.65,25.15,26.55,27.25,27.3,26.65,25.75,25.05,23.5
9.1182e+05,425,1906,22.6,23.05,21.8,25.05,25.95,27.7,27.95,28,27.65,26.85,25.2,24
9.1182e+05,425,1907,23.7,23.9,22.8,23.85,26.35,27.7,27.95,27.7,27.65,26.35,24.9,24.75
9.1182e+05,425,1908,23.4,23.5,23.7,24.35,26.15,26.6,27.15,27.2,26.75,26.05,24.45,23.6
9.1182e+05,425,1909,22.8,22.15,22.3,23.95,25.55,26.85,26.75,26.9,26.65,25.75,24.9,23.65
9.1182e+05,425,1910,22.6,22.65,23.65,24.1,25.05,26.5,27.25,27.15,26.85,25.9,25.15,23.4
9.1182e+05,425,1911,22.8,22.55,23.45,24.7,25.75,26.65,27.25,27.85,26.75,25.5,25.15,24
9.1182e+05,425,1912,23.6,23.15,22.45,24.4,25.95,27,27.75,27.95,27.55,26.8,25.15,24.9
9.1182e+05,425,1913,23.8,22.9,23.85,24.5,26.05,27.15,28.25,28.45,27.75,26.9,25.35,24
9.1182e+05,425,1914,22.3,23.5,23.15,24.4,25.75,27.35,28.25,28.45,27.75,26.5,25.15,23.3
9.1182e+05,425,1915,23,22.4,23.45,24.4,26.95,28,28.35,28.65,27.95,26.6,24.95,24.5
9.1182e+05,425,1916,23.4,24.15,24.45,25.2,26.25,26.75,27.45,27.05,27.05,26.3,25.35,24
9.1182e+05,425,1917,23,22.65,23.7,24.8,26.3,27.7,28.05,28.45,27.9,26.8,25.35,24.6
9.1182e+05,425,1918,23.7,23.35,23.4,23.8,26.1,27.3,28.45,28.45,28.3,27.4,25.65,24.4
9.1182e+05,425,1919,23.3,23.95,23.6,25.2,26.2,27.95,28.15,28.75,27.7,27.1,25.95,24.6
9.1182e+05,425,1920,23.7,24.35,23.7,24.9,26.6,28.1,28.75,28.85,28.2,27.3,25.15,24.75
9.1182e+05,425,1921,23.3,24.45,23.8,25.2,26.6,28.1,28.55,28.35,27.7,26.4,25.15,24.25
9.1182e+05,425,1922,23.2,23.2,23.6,25.2,25.8,27.3,28.45,28.05,27.4,26.7,25.15,24.85
9.1182e+05,425,1923,23.5,22.55,23.4,24.8,26.3,27.45,28.25,28.25,28.2,27.2,25.75,24.25
9.1182e+05,425,1924,23,23.65,23.6,24.4,26,27.35,27.85,27.85,27.7,26.6,25.25,24.6
9.1182e+05,425,1925,24.2,24.2,23.8,24.1,25.7,27.35,27.95,28.45,27.7,26.8,25.55,24.85
9.1182e+05,425,1926,24.3,23.95,24.1,24,26.7,27.45,28.95,28.65,28.2,27,25.85,25.5
9.1182e+05,425,1927,24.25,23.9,24.05,24.55,26.1,27.65,27.7,28.2,27.95,27.15,25.8,23.85
9.1182e+05,425,1928,23.55,22.9,24.05,24.9,25.85,27.15,27.9,28.2,27.65,26.95,25.2,24.4
9.1182e+05,425,1929,23.05,23.3,23.95,25.15,26.1,27.65,28.8,28.55,28.45,27.45,25,23.65
9.1182e+05,425,1930,22.85,23.9,23.05,23.8,26.1,27.05,28.3,28.65,28.45,27.35,25.7,24.85
9.1182e+05,425,1931,23.85,23.6,23.65,23.9,25.8,27.75,28,28.4,27.55,27.05,25.4,23.15
9.1182e+05,425,1932,24.35,22.5,23.45,24.3,25.55,26.75,27.3,27.65,27.15,26.95,25.6,24.75
9.1182e+05,425,1933,23.85,23.2,23.05,23.7,25.2,26.25,26.7,26.9,26.85,25.95,24.3,24.65
9.1182e+05,425,1934,24.5,23.4,23.25,22.75,25.65,27.35,28.1,28.55,27.95,27.15,26,25.25
9.1182e+05,425,1935,23.2,23.2,23.25,23.85,26.05,27.35,27.9,27.95,27.45,26.85,25.45,25.15
9.1182e+05,425,1936,24.5,23.3,23.45,23.95,24.75,26.95,27.7,27.95,27.65,26.75,25.25,23.85
9.1182e+05,425,1937,23.1,22.5,22.75,24.55,25.35,26.95,27.5,27.45,27.25,26.85,25.6,24.65
9.1182e+05,425,1938,24.1,24.2,24.05,24.75,25.35,26.95,27.8,27.95,27.75,26.85,25.45,24.75
9.1182e+05,425,1939,24,24,23.75,23.75,25.25,26.25,27.2,27.55,26.85,26.35,24.7,24.25
9.1182e+05,425,1940,22.85,23.45,23.45,25.05,25.85,27.35,27.95,28.2,27.45,27.05,25.9,24.3
9.1182e+05,425,1941,23.95,22.55,22.85,24.65,25.05,26.85,27.6,28,28.05,26.55,25.4,23.8
9.1182e+05,425,1942,23.15,23.05,21.85,23.4,25.85,26.75,27.5,27.8,27.45,26.75,26.1,25.3
9.1182e+05,425,1943,23.85,23.15,22.75,24.75,25.65,27.15,27.6,27.5,27.45,26.75,25.5,24.5
9.1182e+05,425,1944,23.95,22.75,23.15,24.75,25.35,26.25,27.1,27,26.95,26.3,25.3,23.8
9.1182e+05,425,1945,23.55,23.85,23.95,24.25,26.05,27.25,27.6,27.7,26.95,26.75,25.7,24.2
9.1182e+05,425,1946,23.85,23.75,23.75,23.75,25.25,26.75,27.25,27.7,27.35,26.25,24.8,23.4
9.1182e+05,425,1947,22.25,22.85,23.25,24.35,24.85,26.75,27.25,27.6,27.25,26.85,25.5,23.9
9.1182e+05,425,1948,22.6,22.25,23.2,23.8,25.35,26.6,27.05,27.65,27.25,26.1,24.8,23.45
9.1182e+05,425,1949,22.25,22.7,22.8,23.6,24.75,25.8,26.6,26.7,26.65,25.533,23.767,23.5
9.1182e+05,425,1950,22.733,23.95,23.233,23.7,25,26,26.55,27.1,26.85,26.267,24.9,22.7
