station=943260 
Lat = 23.8 S 
Lon = 133.88 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
9.4326e+05,501,1879,31.8,27.9,22.8,18.8,12.3,11.8,11.8,13.4,15.9,21,27.1,31.1
9.4326e+05,501,1880,28.1,28.3,27.6,20.7,16.7,11.1,10.3,17.6,17.4,22.6,28.4,29.1
9.4326e+05,501,1881,31.4,28.3,24.8,21.6,NaN,11.4,10.7,15,17.6,23.2,27.6,29.6
9.4326e+05,501,1882,29.3,27.9,27.3,20.7,15.6,8.9,10.5,15.9,18.2,22.1,26.5,27.5
9.4326e+05,501,1883,30.3,27.6,23.9,19.1,15,15.4,12.2,15,16.5,22.1,25.4,29.7
9.4326e+05,501,1884,30.6,30,26.4,20.1,13.8,13.2,9.9,16.9,19.8,22.2,26.7,28.4
9.4326e+05,501,1885,29.6,27.6,21.1,17.5,17.8,9.9,10.5,15.5,20,24.6,26.5,29.8
9.4326e+05,501,1886,30.4,29.3,24.5,18.9,15.4,10.9,12.2,15.3,20,22,26.2,25.5
9.4326e+05,501,1887,31.5,26.3,25.1,19.5,14.8,11.9,11.3,13.6,18.5,21.5,26.1,26.6
9.4326e+05,501,1888,32.2,28.6,23.3,22,15.1,12.9,10.8,15.2,17.2,22.1,28.8,31
9.4326e+05,501,1889,28.3,29.1,26.6,20.3,16,13.6,10.2,13.3,21,25.4,29.5,30.8
9.4326e+05,501,1890,29.5,28.1,25.7,18.6,15,12.9,10.6,14.6,19.5,25.4,25.9,28.7
9.4326e+05,501,1891,27,27.2,26,17.7,16.7,10.2,8.8,10.7,17,23.9,25.7,30.3
9.4326e+05,501,1892,30.4,29.7,26.5,18,13.9,11.2,11.6,NaN,18.4,24.1,28.6,29.3
9.4326e+05,501,1893,30.2,28.3,25,22.6,17.3,11.9,13.5,15.3,19,25.5,26.6,28.9
9.4326e+05,501,1894,28.3,24.3,25.7,18.7,12.1,11.8,10.3,13.2,16.6,23,27.6,28.3
9.4326e+05,501,1895,25.5,25.9,23.8,19.7,13.9,11.9,9.5,13.4,18,21.7,25.2,30.1
9.4326e+05,501,1896,30.4,28.1,27.3,21.1,14.3,10.6,11.2,11.2,16.4,25.4,26.6,31.9
9.4326e+05,501,1897,29.7,27.8,24.4,20.7,14.5,13.6,11.8,14.2,18.2,25.4,27.6,29.1
9.4326e+05,501,1898,30.1,26.6,23.9,17.8,12.3,13.6,10.6,14.8,19.5,24,27.2,29.4
9.4326e+05,501,1899,25.8,28.8,25,20.9,14,12.2,8.9,12.8,19.5,22.4,27.7,28.9
9.4326e+05,501,1900,29.1,30.9,25.3,20.8,14.4,14.1,10.3,16,16.9,23.8,28.7,29.9
9.4326e+05,501,1901,29.3,27.9,23.5,18.4,14.3,10.6,9.7,12.6,19.9,21.5,29,31.2
9.4326e+05,501,1902,31.4,29.6,24.7,19.4,15,11.8,11.6,12.9,19.8,23.8,26.5,27.3
9.4326e+05,501,1903,28.4,28.8,24.9,20.5,13.1,10.8,9.5,13.7,18.1,21.9,25.7,25.1
9.4326e+05,501,1904,26,25.4,21.6,17.9,14.6,11.4,11.8,13,18,21.1,25.6,29.3
9.4326e+05,501,1905,29.8,26.7,24.5,19.8,16,12.1,11.2,12.5,15.9,19.6,26.7,30
9.4326e+05,501,1906,31.1,31,22.8,22.4,16.9,15.1,14.2,15,18.8,23.1,25.1,25.5
9.4326e+05,501,1907,28.5,26.9,24.3,18.7,14.3,11.8,12.6,14.5,17.2,24.2,24.2,28.1
9.4326e+05,501,1908,29.4,26.9,22.5,18.8,13.8,10.1,9.3,11.7,14.4,19.1,25.6,28.1
9.4326e+05,501,1909,28.4,26.9,25.7,19.8,15.4,12.9,9.9,15,18.1,24.4,25.1,25.8
9.4326e+05,501,1910,29.8,28.4,21.6,20.3,17.5,14.1,12.5,14.8,19,20,24.9,26.9
9.4326e+05,501,1911,29.1,26.9,23.4,20.4,16.3,11.4,12.2,15.2,17.9,23.4,27.1,28.8
9.4326e+05,501,1912,28.7,27.9,25.8,18.3,15.3,9.9,11.8,14.9,19.2,23.9,25.1,28
9.4326e+05,501,1913,27.6,26.8,24,20.3,11.5,8.9,12,15.4,16.8,23.9,26.6,30
9.4326e+05,501,1914,28.4,28.6,26.7,22.8,14.6,12.1,10.5,14.7,15.8,21.2,28,29.5
9.4326e+05,501,1915,27.8,30.2,26.6,21.5,14.4,14.8,14,14.3,21.4,22.9,27.2,28.9
